bookSlug,title,authors,gutenbergId,currentStatus,processingAllowed,missingFields,nextAction,ownerReviewed,approvedForWebsite,approvedForYoutubeNarration,approvedRegions,originalPublicationYear,editionNotes,translationNotes,excludeModernAdditions,notes
gulliver-s-travels,Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,829,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
heidi,Heidi,Johanna Spyri,20781,needs_manual_review,false,approved author death year; approved translator death year; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
jabberwocky,Jabberwocky,Lewis Carroll,23717,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
jack-and-jill,Jack and Jill,Louisa May Alcott,2786,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
jane-eyre,Jane Eyre: An Autobiography,Charlotte Brontë,1260,needs_manual_review,false,approved author death year; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
les-miserables,Les Misérables,Victor Hugo,135,needs_manual_review,false,approved author death year; approved translator death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
little-women,"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,37106,needs_manual_review,false,approved author death year; editor identity/death-year review; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
new-treasure-seekers,"New Treasure Seekers; Or, The Bastable Children in Search of a Fortune",E. Nesbit,25496,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
nights-with-uncle-remus,Nights With Uncle Remus,Joel Chandler Harris,24430,reject,false,approved author death year; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Reject or remove modern/permission-based text.,false,false,false,US; CA,,,,true,
peter-pan,Peter Pan [Peter and Wendy],J. M. Barrie,16,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
pride-and-prejudice,Pride and Prejudice,Jane Austen,1342,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
rainbow-valley,Rainbow Valley,L. M. Montgomery,5343,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
rinkitink-in-oz,Rinkitink in Oz,L. Frank Baum,25581,needs_manual_review,false,approved author death year; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
sense-and-sensibility,Sense and Sensibility,Jane Austen,161,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
sun-tzu-on-the-art-of-war,Sun Tzŭ on the Art of War: The Oldest Military Treatise in the World,active 6th century B.C. Sunzi,66706,needs_manual_review,false,approved author death year; approved translator death year; manualReviewRequired false; metadataStatus reviewed; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
tarzan-of-the-apes,Tarzan of the Apes,Edgar Rice Burroughs,78,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-arabian-nights,The Arabian Nights: Their Best-known Tales,,20916,needs_manual_review,false,approved author death year; editor identity/death-year review; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-art-of-war,The Art of War,active 6th century B.C. Sunzi,132,needs_manual_review,false,approved author death year; approved translator death year; manualReviewRequired false; metadataStatus reviewed; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-bell,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-book-of-dragons,The Book of Dragons,E. Nesbit,23661,needs_manual_review,false,approved author death year; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-call-of-cthulhu,The call of Cthulhu,H. P. Lovecraft,68283,needs_manual_review,false,manualReviewRequired false; metadataStatus reviewed; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review content-brand safety before education use.,false,false,false,US; CA,,,,true,
the-call-of-the-wild,The call of the wild,Jack London,215,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-count-of-monte-cristo,The Count of Monte Cristo,Alexandre Dumas Auguste Maquet,1184,needs_manual_review,false,approved author death year; approved translator death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-count-of-monte-cristo-gutenberg-1184,The Count of Monte Cristo,,1184,needs_manual_review,false,approved author death year; approved translator death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-divine-comedy,The divine comedy,Dante Alighieri,8800,needs_manual_review,false,approved author death year; approved translator death year; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-elderbush,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-elements-of-style,The Elements of Style,William Strunk,37134,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-emerald-city-of-oz,The Emerald City of Oz,L. Frank Baum,517,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-emperor-s-new-clothes,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-federalist-papers,The Federalist Papers,Alexander Hamilton John Jay James Madison,18,needs_manual_review,false,approved author death year; introduction author identity/death-year review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-fir-tree,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-great-gatsby,The Great Gatsby,F. Scott Fitzgerald,64317,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-happy-family,The Happy Family,,,reject,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.gutenbergId; source.rightsBasis; source.rightsReviewed; sourceUrl; website approval,Keep blocked until the rejection reason is manually resolved.,false,false,false,US; CA,,,,true,
the-jungle-book,The Jungle Book,Rudyard Kipling,236,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-leap-frog,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-legend-of-sleepy-hollow,The Legend of Sleepy Hollow,Washington Irving,41,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-old-house,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-picture-of-dorian-gray,The Picture of Dorian Gray,Oscar Wilde,174,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-princess-and-the-goblin,The Princess and the Goblin,George MacDonald,708,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-railway-children,The Railway Children,E. Nesbit,1874,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-real-princess,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-sea-wolf,The Sea-Wolf,Jack London,1074,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-secret-garden,The Secret Garden,Frances Hodgson Burnett,17396,reject,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Reject or remove modern/permission-based text.,false,false,false,US; CA,,,,true,
the-secret-garden-gutenberg-113,The Secret Garden,Frances Hodgson Burnett,113,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-shoes-of-fortune,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-snow-queen,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-swineherd,Andersen's Fairy Tales,H. C. Andersen,1597,needs_manual_review,false,approved author death year; duplicate Gutenberg ID resolution; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Review duplicate Gutenberg ID group.,false,false,false,US; CA,,,,true,
the-thirty-nine-steps,The Thirty-Nine Steps,John Buchan,558,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-three-musketeers,The three musketeers,Alexandre Dumas Auguste Maquet,1257,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-water-babies,The Water-Babies: A Fairy Tale for a Land-Baby,Charles Kingsley,25564,needs_manual_review,false,approved author death year; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
the-wonderful-wizard-of-oz,The Wonderful Wizard of Oz,L. Frank Baum,55,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
through-the-looking-glass,Through the Looking-Glass,Lewis Carroll,12,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
treasure-island,Treasure Island,Robert Louis Stevenson,120,needs_manual_review,false,approved author death year; illustrator handling review; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
wind-in-the-willows,The Wind in the Willows,Kenneth Grahame,289,needs_manual_review,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Add approved author death year metadata.,false,false,false,US; CA,,,,true,
wood-folk-at-school,Wood folk at school,William J. Long,22101,reject,false,approved author death year; manualReviewRequired false; metadataStatus reviewed; originalPublication; originalPublicationYear; owner-reviewed website approval; source.rightsBasis; source.rightsReviewed; website approval,Reject or remove modern/permission-based text.,false,false,false,US; CA,,,,true,
